schemaname,tablename,policyname,permissive,roles,cmd,qual
public,app_demo_entitlements,read own demo entitlement,PERMISSIVE,{authenticated},SELECT,(( SELECT auth.uid() AS uid) = user_id)
public,app_ratings,Users can insert own rating,PERMISSIVE,{public},INSERT,
public,app_ratings,Users can read all ratings,PERMISSIVE,{public},SELECT,true
public,app_ratings,Users can update own rating,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id)
public,apps,Admin full access on apps,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.is_admin = true))))"
public,apps,Public can read published apps,PERMISSIVE,{public},SELECT,(is_published = true)
public,backups,backups_delete_own,PERMISSIVE,{authenticated},DELETE,(user_id = auth.uid())
public,backups,backups_insert_own,PERMISSIVE,{authenticated},INSERT,
public,backups,backups_select_own,PERMISSIVE,{authenticated},SELECT,(user_id = auth.uid())
public,backups,backups_update_own,PERMISSIVE,{authenticated},UPDATE,(user_id = auth.uid())
public,broadcasts,Enable delete for authenticated users,PERMISSIVE,{authenticated},DELETE,true
public,broadcasts,Enable insert for authenticated,PERMISSIVE,{public},INSERT,
public,broadcasts,Enable read access for all,PERMISSIVE,{public},SELECT,true
public,client_requests,Allow app reads,PERMISSIVE,{anon},SELECT,true
public,client_requests,Allow app updates,PERMISSIVE,{anon},UPDATE,true
public,client_requests,Allow public inserts,PERMISSIVE,{anon},INSERT,
public,contact_info,Auth full access,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text)
public,contact_info,Public read,PERMISSIVE,{public},SELECT,true
public,device_tokens,Users manage own token,PERMISSIVE,{public},ALL,(auth.uid() = user_id)
public,devices,devices_delete_own,PERMISSIVE,{authenticated},DELETE,(user_id = auth.uid())
public,devices,devices_insert_own,PERMISSIVE,{authenticated},INSERT,
public,devices,devices_select_own,PERMISSIVE,{authenticated},SELECT,(user_id = auth.uid())
public,devices,devices_update_own,PERMISSIVE,{authenticated},UPDATE,(user_id = auth.uid())
public,kl_demo_sessions,Public read demo sessions,PERMISSIVE,{public},SELECT,true
public,kl_demo_sessions,auth_insert,PERMISSIVE,{authenticated},INSERT,
public,kl_demo_sessions,auth_read,PERMISSIVE,{authenticated},SELECT,true
public,kl_licenses,anon_read,PERMISSIVE,{anon},SELECT,true
public,kl_products,anon_read,PERMISSIVE,{anon},SELECT,true
public,kl_revocations,Public read revocations,PERMISSIVE,{public},SELECT,true
public,kl_revocations,anon_read,PERMISSIVE,{anon},SELECT,true
public,news,Admin full access on news,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.is_admin = true))))"
public,news,Public can read published news,PERMISSIVE,{public},SELECT,(is_published = true)
public,products,products_admin_all,PERMISSIVE,{authenticated},ALL,true
public,products,products_public_read,PERMISSIVE,{public},SELECT,"(status = ANY (ARRAY['live'::text, 'coming-soon'::text]))"
public,profiles,profiles_insert_own,PERMISSIVE,{authenticated},INSERT,
public,profiles,profiles_select_own,PERMISSIVE,{authenticated},SELECT,(id = auth.uid())
public,profiles,profiles_update_own,PERMISSIVE,{authenticated},UPDATE,(id = auth.uid())
public,shv_admin_cloud_backups,Users manage own admin backups,PERMISSIVE,{public},ALL,(auth.uid() = user_id)
public,shv_admin_emergency_vault,Users manage own emergency vault rows,PERMISSIVE,{public},ALL,(auth.uid() = user_id)
public,site_downloads,Anyone can read downloads,PERMISSIVE,{public},SELECT,true
public,site_downloads,Authenticated can update downloads,PERMISSIVE,{authenticated},UPDATE,true
public,site_settings,settings_admin_write,PERMISSIVE,{authenticated},ALL,true
public,site_settings,settings_public_read,PERMISSIVE,{public},SELECT,true
public,store_config,Enable read for all,PERMISSIVE,{public},SELECT,true
public,store_config,Enable update for admin,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text)
public,upcoming_updates,Admin full access on updates,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.is_admin = true))))"
public,upcoming_updates,Public can read updates,PERMISSIVE,{authenticated},SELECT,true
storage,objects,backup_objects_delete_own,PERMISSIVE,{authenticated},DELETE,((bucket_id = 'app-backups'::text) AND ((storage.foldername(name))[1] = (auth.uid())::text))
storage,objects,backup_objects_insert_own,PERMISSIVE,{authenticated},INSERT,
storage,objects,backup_objects_select_own,PERMISSIVE,{authenticated},SELECT,((bucket_id = 'app-backups'::text) AND ((storage.foldername(name))[1] = (auth.uid())::text))
storage,objects,backup_objects_update_own,PERMISSIVE,{authenticated},UPDATE,((bucket_id = 'app-backups'::text) AND ((storage.foldername(name))[1] = (auth.uid())::text))
