schema,table,table_size,indexes_size,total_size,estimated_rows
public,shv_admin_cloud_backups,2640 kB,16 kB,2656 kB,-1
auth,refresh_tokens,96 kB,160 kB,256 kB,155
auth,users,48 kB,200 kB,248 kB,5
auth,sessions,80 kB,144 kB,224 kB,178
public,apps,144 kB,16 kB,160 kB,5
auth,mfa_amr_claims,72 kB,72 kB,144 kB,187
public,products,64 kB,80 kB,144 kB,-1
auth,one_time_tokens,16 kB,96 kB,112 kB,-1
storage,objects,16 kB,80 kB,96 kB,-1
public,app_demo_entitlements,16 kB,80 kB,96 kB,11
public,kl_licenses,16 kB,64 kB,80 kB,-1
auth,identities,16 kB,64 kB,80 kB,-1
auth,flow_state,16 kB,64 kB,80 kB,-1
public,kl_demo_sessions,16 kB,64 kB,80 kB,-1
public,backups,16 kB,64 kB,80 kB,-1
auth,custom_oauth_providers,8192 bytes,48 kB,56 kB,-1
auth,mfa_factors,8192 bytes,48 kB,56 kB,-1
storage,buckets,16 kB,32 kB,48 kB,-1
auth,oauth_consents,8192 bytes,40 kB,48 kB,-1
public,site_downloads,16 kB,32 kB,48 kB,-1
public,kl_products,16 kB,32 kB,48 kB,-1
public,devices,16 kB,32 kB,48 kB,-1
public,kl_revocations,16 kB,32 kB,48 kB,-1
auth,oauth_authorizations,8192 bytes,32 kB,40 kB,-1
storage,migrations,8192 bytes,32 kB,40 kB,59
auth,saml_relay_states,8192 bytes,32 kB,40 kB,-1
public,client_requests,16 kB,16 kB,32 kB,-1
auth,saml_providers,8192 bytes,24 kB,32 kB,-1
public,profiles,16 kB,16 kB,32 kB,-1
auth,sso_domains,8192 bytes,24 kB,32 kB,-1
auth,sso_providers,8192 bytes,24 kB,32 kB,-1
auth,webauthn_credentials,8192 bytes,24 kB,32 kB,-1
auth,webauthn_challenges,8192 bytes,24 kB,32 kB,-1
public,store_config,16 kB,16 kB,32 kB,-1
public,broadcasts,16 kB,16 kB,32 kB,-1
public,site_settings,16 kB,16 kB,32 kB,-1
public,news,16 kB,16 kB,32 kB,-1
public,upcoming_updates,16 kB,16 kB,32 kB,-1
public,device_tokens,16 kB,16 kB,32 kB,2
realtime,subscription,8192 bytes,24 kB,32 kB,-1
public,contact_info,16 kB,16 kB,32 kB,-1
realtime,schema_migrations,8192 bytes,16 kB,24 kB,69
auth,schema_migrations,8192 bytes,16 kB,24 kB,76
storage,s3_multipart_uploads,8192 bytes,16 kB,24 kB,-1
storage,vector_indexes,8192 bytes,16 kB,24 kB,-1
storage,buckets_analytics,8192 bytes,16 kB,24 kB,-1
auth,oauth_client_states,8192 bytes,16 kB,24 kB,-1
auth,oauth_clients,8192 bytes,16 kB,24 kB,-1
auth,mfa_challenges,8192 bytes,16 kB,24 kB,-1
auth,audit_log_entries,8192 bytes,16 kB,24 kB,-1
public,app_ratings,8192 bytes,16 kB,24 kB,-1
vault,secrets,8192 bytes,16 kB,24 kB,-1
public,shv_admin_emergency_vault,8192 bytes,8192 bytes,16 kB,-1
storage,buckets_vectors,8192 bytes,8192 bytes,16 kB,-1
storage,s3_multipart_uploads_parts,8192 bytes,8192 bytes,16 kB,-1
auth,instances,8192 bytes,8192 bytes,16 kB,-1
