table_schema,table_name,constraint_name,key_columns
auth,audit_log_entries,audit_log_entries_pkey,id
auth,custom_oauth_providers,custom_oauth_providers_pkey,id
auth,flow_state,flow_state_pkey,id
auth,identities,identities_pkey,id
auth,instances,instances_pkey,id
auth,mfa_amr_claims,amr_id_pk,id
auth,mfa_challenges,mfa_challenges_pkey,id
auth,mfa_factors,mfa_factors_pkey,id
auth,oauth_authorizations,oauth_authorizations_pkey,id
auth,oauth_client_states,oauth_client_states_pkey,id
auth,oauth_clients,oauth_clients_pkey,id
auth,oauth_consents,oauth_consents_pkey,id
auth,one_time_tokens,one_time_tokens_pkey,id
auth,refresh_tokens,refresh_tokens_pkey,id
auth,saml_providers,saml_providers_pkey,id
auth,saml_relay_states,saml_relay_states_pkey,id
auth,sessions,sessions_pkey,id
auth,sso_domains,sso_domains_pkey,id
auth,sso_providers,sso_providers_pkey,id
auth,users,users_pkey,id
auth,webauthn_challenges,webauthn_challenges_pkey,id
auth,webauthn_credentials,webauthn_credentials_pkey,id
public,app_demo_entitlements,app_demo_entitlements_pkey,id
public,app_ratings,app_ratings_pkey,id
public,apps,apps_pkey,id
public,backups,backups_pkey,id
public,broadcasts,broadcasts_pkey,id
public,client_requests,client_requests_pkey,id
public,contact_info,contact_info_pkey,id
public,device_tokens,device_tokens_pkey,user_id
public,devices,devices_pkey,id
public,kl_demo_sessions,kl_demo_sessions_pkey,id
public,kl_licenses,kl_licenses_pkey,id
public,kl_products,kl_products_pkey,id
public,kl_revocations,kl_revocations_pkey,id
public,news,news_pkey,id
public,products,products_pkey,id
public,profiles,profiles_pkey,id
public,shv_admin_cloud_backups,shv_admin_cloud_backups_pkey,id
public,shv_admin_emergency_vault,shv_admin_emergency_vault_pkey,id
public,site_downloads,site_downloads_pkey,id
public,site_settings,site_settings_pkey,key
public,store_config,store_config_pkey,id
public,upcoming_updates,upcoming_updates_pkey,id
realtime,messages,messages_pkey,"id, inserted_at"
realtime,schema_migrations,schema_migrations_pkey,version
realtime,subscription,pk_subscription,id
storage,buckets,buckets_pkey,id
storage,buckets_analytics,buckets_analytics_pkey,id
storage,objects,objects_pkey,id
storage,s3_multipart_uploads,s3_multipart_uploads_pkey,id
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_pkey,id
vault,secrets,secrets_pkey,id
