table_schema,table_name,table_type,total_size
auth,audit_log_entries,BASE TABLE,24 kB
auth,custom_oauth_providers,BASE TABLE,56 kB
auth,flow_state,BASE TABLE,80 kB
auth,identities,BASE TABLE,80 kB
auth,instances,BASE TABLE,16 kB
auth,mfa_amr_claims,BASE TABLE,144 kB
auth,mfa_challenges,BASE TABLE,24 kB
auth,mfa_factors,BASE TABLE,56 kB
auth,oauth_authorizations,BASE TABLE,40 kB
auth,oauth_client_states,BASE TABLE,24 kB
auth,oauth_clients,BASE TABLE,24 kB
auth,oauth_consents,BASE TABLE,48 kB
auth,one_time_tokens,BASE TABLE,112 kB
auth,refresh_tokens,BASE TABLE,256 kB
auth,saml_providers,BASE TABLE,32 kB
auth,saml_relay_states,BASE TABLE,40 kB
auth,schema_migrations,BASE TABLE,24 kB
auth,sessions,BASE TABLE,224 kB
auth,sso_domains,BASE TABLE,32 kB
auth,sso_providers,BASE TABLE,32 kB
auth,users,BASE TABLE,248 kB
auth,webauthn_challenges,BASE TABLE,32 kB
auth,webauthn_credentials,BASE TABLE,32 kB
extensions,pg_stat_statements,VIEW,0 bytes
extensions,pg_stat_statements_info,VIEW,0 bytes
public,app_demo_entitlements,BASE TABLE,96 kB
public,app_ratings,BASE TABLE,24 kB
public,apps,BASE TABLE,160 kB
public,backups,BASE TABLE,80 kB
public,broadcasts,BASE TABLE,32 kB
public,client_requests,BASE TABLE,32 kB
public,contact_info,BASE TABLE,32 kB
public,device_tokens,BASE TABLE,32 kB
public,devices,BASE TABLE,48 kB
public,kl_demo_sessions,BASE TABLE,80 kB
public,kl_licenses,BASE TABLE,80 kB
public,kl_products,BASE TABLE,48 kB
public,kl_revocations,BASE TABLE,48 kB
public,news,BASE TABLE,32 kB
public,products,BASE TABLE,144 kB
public,profiles,BASE TABLE,32 kB
public,shv_admin_cloud_backups,BASE TABLE,2656 kB
public,shv_admin_emergency_vault,BASE TABLE,16 kB
public,site_downloads,BASE TABLE,48 kB
public,site_settings,BASE TABLE,32 kB
public,store_config,BASE TABLE,32 kB
public,upcoming_updates,BASE TABLE,32 kB
realtime,messages,BASE TABLE,0 bytes
realtime,schema_migrations,BASE TABLE,24 kB
realtime,subscription,BASE TABLE,32 kB
storage,buckets,BASE TABLE,48 kB
storage,buckets_analytics,BASE TABLE,24 kB
storage,buckets_vectors,BASE TABLE,16 kB
storage,migrations,BASE TABLE,40 kB
storage,objects,BASE TABLE,96 kB
storage,s3_multipart_uploads,BASE TABLE,24 kB
storage,s3_multipart_uploads_parts,BASE TABLE,16 kB
storage,vector_indexes,BASE TABLE,24 kB
vault,decrypted_secrets,VIEW,0 bytes
vault,secrets,BASE TABLE,24 kB
