table_schema,table_name,column_name,ordinal_position,is_nullable,data_type,udt_name
auth,audit_log_entries,instance_id,1,YES,uuid,uuid
auth,audit_log_entries,id,2,NO,uuid,uuid
auth,audit_log_entries,payload,3,YES,json,json
auth,audit_log_entries,created_at,4,YES,timestamp with time zone,timestamptz
auth,audit_log_entries,ip_address,5,NO,character varying,varchar
auth,custom_oauth_providers,id,1,NO,uuid,uuid
auth,custom_oauth_providers,provider_type,2,NO,text,text
auth,custom_oauth_providers,identifier,3,NO,text,text
auth,custom_oauth_providers,name,4,NO,text,text
auth,custom_oauth_providers,client_id,5,NO,text,text
auth,custom_oauth_providers,client_secret,6,NO,text,text
auth,custom_oauth_providers,acceptable_client_ids,7,NO,ARRAY,_text
auth,custom_oauth_providers,scopes,8,NO,ARRAY,_text
auth,custom_oauth_providers,pkce_enabled,9,NO,boolean,bool
auth,custom_oauth_providers,attribute_mapping,10,NO,jsonb,jsonb
auth,custom_oauth_providers,authorization_params,11,NO,jsonb,jsonb
auth,custom_oauth_providers,enabled,12,NO,boolean,bool
auth,custom_oauth_providers,email_optional,13,NO,boolean,bool
auth,custom_oauth_providers,issuer,14,YES,text,text
auth,custom_oauth_providers,discovery_url,15,YES,text,text
auth,custom_oauth_providers,skip_nonce_check,16,NO,boolean,bool
auth,custom_oauth_providers,cached_discovery,17,YES,jsonb,jsonb
auth,custom_oauth_providers,discovery_cached_at,18,YES,timestamp with time zone,timestamptz
auth,custom_oauth_providers,authorization_url,19,YES,text,text
auth,custom_oauth_providers,token_url,20,YES,text,text
auth,custom_oauth_providers,userinfo_url,21,YES,text,text
auth,custom_oauth_providers,jwks_uri,22,YES,text,text
auth,custom_oauth_providers,created_at,23,NO,timestamp with time zone,timestamptz
auth,custom_oauth_providers,updated_at,24,NO,timestamp with time zone,timestamptz
auth,custom_oauth_providers,custom_claims_allowlist,25,NO,ARRAY,_text
auth,flow_state,id,1,NO,uuid,uuid
auth,flow_state,user_id,2,YES,uuid,uuid
auth,flow_state,auth_code,3,YES,text,text
auth,flow_state,code_challenge_method,4,YES,USER-DEFINED,code_challenge_method
auth,flow_state,code_challenge,5,YES,text,text
auth,flow_state,provider_type,6,NO,text,text
auth,flow_state,provider_access_token,7,YES,text,text
auth,flow_state,provider_refresh_token,8,YES,text,text
auth,flow_state,created_at,9,YES,timestamp with time zone,timestamptz
auth,flow_state,updated_at,10,YES,timestamp with time zone,timestamptz
auth,flow_state,authentication_method,11,NO,text,text
auth,flow_state,auth_code_issued_at,12,YES,timestamp with time zone,timestamptz
auth,flow_state,invite_token,13,YES,text,text
auth,flow_state,referrer,14,YES,text,text
auth,flow_state,oauth_client_state_id,15,YES,uuid,uuid
auth,flow_state,linking_target_id,16,YES,uuid,uuid
auth,flow_state,email_optional,17,NO,boolean,bool
auth,identities,provider_id,1,NO,text,text
auth,identities,user_id,2,NO,uuid,uuid
auth,identities,identity_data,3,NO,jsonb,jsonb
auth,identities,provider,4,NO,text,text
auth,identities,last_sign_in_at,5,YES,timestamp with time zone,timestamptz
auth,identities,created_at,6,YES,timestamp with time zone,timestamptz
auth,identities,updated_at,7,YES,timestamp with time zone,timestamptz
auth,identities,email,8,YES,text,text
auth,identities,id,9,NO,uuid,uuid
auth,instances,id,1,NO,uuid,uuid
auth,instances,uuid,2,YES,uuid,uuid
auth,instances,raw_base_config,3,YES,text,text
auth,instances,created_at,4,YES,timestamp with time zone,timestamptz
auth,instances,updated_at,5,YES,timestamp with time zone,timestamptz
auth,mfa_amr_claims,session_id,1,NO,uuid,uuid
auth,mfa_amr_claims,created_at,2,NO,timestamp with time zone,timestamptz
auth,mfa_amr_claims,updated_at,3,NO,timestamp with time zone,timestamptz
