schema,name,arguments,return_type,kind,language
auth,email,,text,f,sql
auth,jwt,,jsonb,f,sql
auth,role,,text,f,sql
auth,uid,,uuid,f,sql
extensions,armor,bytea,text,f,c
extensions,armor,"bytea, text[], text[]",text,f,c
extensions,crypt,"text, text",text,f,c
extensions,dearmor,text,bytea,f,c
extensions,decrypt,"bytea, bytea, text",bytea,f,c
extensions,decrypt_iv,"bytea, bytea, bytea, text",bytea,f,c
extensions,digest,"bytea, text",bytea,f,c
extensions,digest,"text, text",bytea,f,c
extensions,encrypt,"bytea, bytea, text",bytea,f,c
extensions,encrypt_iv,"bytea, bytea, bytea, text",bytea,f,c
extensions,gen_random_bytes,integer,bytea,f,c
extensions,gen_random_uuid,,uuid,f,c
extensions,gen_salt,text,text,f,c
extensions,gen_salt,"text, integer",text,f,c
extensions,grant_pg_cron_access,,event_trigger,f,plpgsql
extensions,grant_pg_graphql_access,,event_trigger,f,plpgsql
extensions,grant_pg_net_access,,event_trigger,f,plpgsql
extensions,hmac,"bytea, bytea, text",bytea,f,c
extensions,hmac,"text, text, text",bytea,f,c
extensions,pg_stat_statements,"showtext boolean, OUT userid oid, OUT dbid oid, OUT toplevel boolean, OUT queryid bigint, OUT query text, OUT plans bigint, OUT total_plan_time double precision, OUT min_plan_time double precision, OUT max_plan_time double precision, OUT mean_plan_time double precision, OUT stddev_plan_time double precision, OUT calls bigint, OUT total_exec_time double precision, OUT min_exec_time double precision, OUT max_exec_time double precision, OUT mean_exec_time double precision, OUT stddev_exec_time double precision, OUT rows bigint, OUT shared_blks_hit bigint, OUT shared_blks_read bigint, OUT shared_blks_dirtied bigint, OUT shared_blks_written bigint, OUT local_blks_hit bigint, OUT local_blks_read bigint, OUT local_blks_dirtied bigint, OUT local_blks_written bigint, OUT temp_blks_read bigint, OUT temp_blks_written bigint, OUT shared_blk_read_time double precision, OUT shared_blk_write_time double precision, OUT local_blk_read_time double precision, OUT local_blk_write_time double precision, OUT temp_blk_read_time double precision, OUT temp_blk_write_time double precision, OUT wal_records bigint, OUT wal_fpi bigint, OUT wal_bytes numeric, OUT jit_functions bigint, OUT jit_generation_time double precision, OUT jit_inlining_count bigint, OUT jit_inlining_time double precision, OUT jit_optimization_count bigint, OUT jit_optimization_time double precision, OUT jit_emission_count bigint, OUT jit_emission_time double precision, OUT jit_deform_count bigint, OUT jit_deform_time double precision, OUT stats_since timestamp with time zone, OUT minmax_stats_since timestamp with time zone",record,f,c
extensions,pg_stat_statements_info,"OUT dealloc bigint, OUT stats_reset timestamp with time zone",record,f,c
extensions,pg_stat_statements_reset,"userid oid DEFAULT 0, dbid oid DEFAULT 0, queryid bigint DEFAULT 0, minmax_only boolean DEFAULT false",timestamptz,f,c
extensions,pgp_armor_headers,"text, OUT key text, OUT value text",record,f,c
